out_comp,iter,RTime,SAIDI,Energy,Product
9,37,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,37,274.24476174112255,259707.86621195273,1.615631650261366e12,1.150709762111398e20
9,37,271.0572623138603,227927.82472569423,1.305028752203818e12,8.06266236428218e19
9,37,288.8717812142039,224205.63492847106,1.1542512964999546e12,7.475702565281564e19
9,37,271.997910652921,213292.97341616114,8.827880787342795e11,5.121516501663153e19
9,37,275.6213241695304,207564.02816542753,8.27729183174516e11,4.735361867918789e19
9,37,279.94024971363126,210277.02504779355,7.761177614657833e11,4.568617428013796e19
9,37,277.3782359679267,199280.03344495886,8.085693493223232e11,4.469443418693566e19
9,37,290.35040549828176,190565.35029590921,6.665509882080043e11,3.688075058170783e19
9,37,295.6189450171821,198689.847689146,5.587512032115013e11,3.281908063777709e19
9,37,302.107686139748,191889.28368070477,5.175525782762351e11,3.0003158252144603e19
9,37,295.95243184421537,187353.2248602334,5.2204203729174567e11,2.8946000259593273e19
9,37,296.3324077892325,174158.41946753248,5.4585960997550684e11,2.8171150584140653e19
9,37,288.3220286368843,174782.35968635534,5.52803783747562e11,2.785777525241077e19
9,37,289.06569301260026,173966.93651598803,5.4513359751633167e11,2.741360915551697e19
9,37,298.46840091638035,170353.52363991455,5.2776034995682086e11,2.6834050880888746e19
9,37,334.7314352806416,182297.8280478017,4.339991707628818e11,2.6482982515123528e19
9,37,329.0016357388317,177300.82043191095,4.3659130209810254e11,2.5467357321501454e19
9,37,328.8294192439863,176923.31347173717,4.3767406534295795e11,2.5462822510818333e19
9,37,329.79176059564725,176227.73446027582,4.210530245497545e11,2.4470951181355713e19
9,37,317.19049599083627,170360.16815246435,3.8742598989817505e11,2.093519340921814e19
9,37,334.4241569301261,163361.259464644,3.8270823028497235e11,2.0908097464674996e19
9,37,334.4494066437573,168464.45006068156,3.7102320421324445e11,2.0904499310973805e19
9,37,341.08904581901504,156372.19050014883,3.573704485525628e11,1.9061010882005488e19
9,37,341.15228980526933,155713.2146625683,3.565520007545255e11,1.8940726765462168e19
9,37,340.6227296678123,154706.00840594864,3.566199098292295e11,1.8792579310723166e19
9,37,332.4735189003436,154823.21527311607,3.5995505609052026e11,1.8528549437529248e19
9,37,329.5224364261168,154447.9670643919,3.562379740880943e11,1.8130400535285168e19
9,37,320.96167010309284,153549.34325251039,3.5269153176683765e11,1.7381856759833606e19
9,37,319.9601855670104,152782.38095528865,3.50747319830927e11,1.7146029827727081e19
9,37,319.98760824742277,152768.22795454474,3.501184721057638e11,1.7115170341075685e19
9,37,319.59820389461635,152898.9386173947,3.500774950965769e11,1.710696604874497e19
9,37,319.5771764032075,154767.0574278093,3.455232844319147e11,1.7089588286545633e19
9,37,319.03291294387174,155429.42147652406,3.430664823691822e11,1.701167234211823e19
9,37,306.9536426116839,155009.39471371463,3.4312636215513446e11,1.6326191932403456e19
9,37,315.10533333333336,148713.40137152316,3.365170375459747e11,1.5769318244797846e19
9,37,316.0602783505155,148578.67096314576,3.352032810136057e11,1.5741084433038967e19
9,37,316.11513172966784,146169.08309142836,3.398036537550537e11,1.570105561968648e19
9,37,316.23477090492554,146029.97647267755,3.396581157009385e11,1.5685328959166294e19
9,37,317.09893585337915,145954.11667067953,3.384406654160603e11,1.5663675367487392e19
9,37,317.03553951890035,145710.54119846804,3.379426370300118e11,1.5611402067853689e19
9,37,316.15953150057265,146022.148292911,3.3727661080241296e11,1.5570811171264776e19
9,37,302.15724169530347,144338.59225827252,3.3544526375489386e11,1.4629757820108634e19
9,37,302.00380870561276,143530.3259127818,3.342811855035902e11,1.448998796529944e19
9,37,302.164560137457,143305.78255352867,3.343777990171096e11,1.4479203628768176e19
9,37,298.17726460481094,143810.31560083074,3.3443742196591766e11,1.4340999896967678e19
9,37,298.8689369988545,143396.85898268968,3.341918753096952e11,1.4322416690178126e19
9,37,298.4297686139748,143226.79838869802,3.339749453105283e11,1.4275137944914174e19
9,37,290.57597365406644,145580.17972689628,3.253997822526712e11,1.3765094932202721e19
9,37,265.3274719358534,146745.9337387022,3.352699169792911e11,1.3053978165262842e19
9,37,265.5154719358534,146853.23288600586,3.3463172417291736e11,1.3047895081340236e19
9,37,264.17128980526917,146756.1269010973,3.3468808825241925e11,1.2975440605420091e19
9,37,263.12885567010306,146767.61366966317,3.3446616922543e11,1.291668016766156e19
9,37,262.58346391752576,148061.13729600725,3.267753351381106e11,1.2704504249218052e19
9,37,262.65969301260026,147723.9721832363,3.260852083241095e11,1.2652475597597923e19
9,37,260.99420847651777,147773.59118081568,3.2594049031487646e11,1.2570889604655612e19
9,37,260.9628568155785,147614.7260553459,3.258662841294904e11,1.2553008164443412e19
9,37,260.8965864833906,147563.34174282267,3.2590916767012506e11,1.2547102787983952e19
9,37,246.4749198167239,146261.80327495668,3.2493969400412897e11,1.1714032503110142e19
9,37,246.38343298969076,146440.19533585073,3.2356418719471356e11,1.16743376127425e19
9,37,243.29315349369992,147863.91986549468,3.2437388773290546e11,1.1669116851802999e19
9,37,243.08662772050403,149328.7397352433,3.213380845327832e11,1.1664514551846816e19
9,37,235.89568843069875,149934.97671335825,3.2112184072501874e11,1.1357763057452106e19
9,37,238.41674570446747,151688.00411575634,3.1331836466912555e11,1.133114622067427e19
9,37,237.0860985108821,151410.57903676652,3.138743344047877e11,1.1267254784497488e19
9,37,235.87987857961065,152231.5777335673,3.136971537733437e11,1.1264352233367562e19
9,37,236.57600458190151,151183.71856938433,3.141911200264247e11,1.123749787342804e19
9,37,238.84161053837343,150545.92019109312,3.1041221736542065e11,1.1161377259214696e19
9,37,237.20027491408933,150222.44972942607,3.1073851195396814e11,1.107248522942792e19
9,37,231.99780183276064,153091.14748006905,3.112206967424657e11,1.1053566259481596e19
9,37,230.54722336769765,153124.4775898756,3.099645710363121e11,1.094250044450482e19
9,37,227.35518098510886,152791.2113818766,3.124883871592094e11,1.085518206856188e19
9,37,225.86389805269192,152821.97860724395,3.124823429181921e11,1.0785942967437488e19
9,37,225.56023711340208,151055.310759067,3.1575194192218823e11,1.0758322808393042e19
9,37,219.68553837342503,150648.96028934326,3.159182659330512e11,1.0455440729641847e19
9,37,218.60507445589928,150664.22662191527,3.158075778697895e11,1.0401427166768175e19
9,37,218.2735681557847,149231.57053789464,3.153044144201128e11,1.027050761005944e19
9,37,217.6050446735395,147442.60873165363,3.146883889801832e11,1.0096542662284028e19
9,37,224.82331156930135,143577.23608214987,3.0943942460727747e11,9.988552902589604e18
9,37,224.79349828178695,142026.0192142013,3.1022806467918494e11,9.90450428176362e18
9,37,223.867027491409,142271.94833343796,3.1087273139972833e11,9.901295925816822e18
9,37,223.77527720504017,142003.275427444,3.1022330968052484e11,9.857910992108982e18
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
9,37,249.4961729667813,158901.61524349873,3.6481871252720435e11,1.4463363677363227e19
