out_comp,iter,RTime,SAIDI,Energy,Product
9,25,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,25,269.1507857961054,258456.62068837098,1.8976090696690127e12,1.3200490264425238e20
9,25,253.16730698739983,266452.475587468,1.91334730578667e12,1.2906877575044067e20
9,25,260.1066506300115,256351.329103348,1.905518291744696e12,1.2705745507576545e20
9,25,263.92170561282927,257585.20464835345,1.792364859962891e12,1.2184913320929303e20
9,25,250.33678006872847,219211.69027444767,1.0215303713356925e12,5.605826547386468e19
9,25,252.42283848797246,197032.12792597877,7.348479445504846e11,3.654796307826164e19
9,25,271.1625807560137,179305.61524111044,6.573881817177214e11,3.1962853278906737e19
9,25,270.5011363115693,175986.13143684683,6.496876184591829e11,3.0928020792702607e19
9,25,269.64407674685,172136.33813581738,6.216142085290613e11,2.885256162911331e19
9,25,275.9721867124857,178394.88106567066,4.691978610008868e11,2.309956102262373e19
9,25,259.4348510882017,167688.9497183488,4.6531150137383325e11,2.0243077997373366e19
9,25,287.2123928980527,161103.71837245498,3.975579444314725e11,1.8395397468152515e19
9,25,293.3357972508591,159769.08112252376,3.895631416409375e11,1.8257262607142853e19
9,25,301.77265979381446,158874.45928642593,3.77744518435079e11,1.8110571161507783e19
9,25,301.7952027491409,158963.3788047971,3.7708515664793335e11,1.8090428534127854e19
9,25,285.3150286368844,160619.79015039213,3.8138430523414325e11,1.7477790098270505e19
9,25,276.4676380297824,161277.56488616584,3.8654955130800775e11,1.7235481997267814e19
9,25,276.4964043528064,163036.11396251092,3.781476722866619e11,1.7046480835867507e19
9,25,276.10220733104245,162233.05965902456,3.79420757948102e11,1.6995358297382758e19
9,25,276.3629266895762,162402.16732659563,3.7790263686454114e11,1.6961002817220147e19
9,25,274.90781901489123,162132.65049955237,3.7727521457450385e11,1.6815734804738839e19
9,25,274.0705715922108,161894.487665522,3.749047788353585e11,1.6634718027451808e19
9,25,274.3325223367698,163974.99362359595,3.696133555742687e11,1.662656654569251e19
9,25,270.5202371134021,161172.82637333617,3.694979479578699e11,1.6110299420809007e19
9,25,292.65376403207335,157183.4054060355,3.466224175523495e11,1.5944740475083809e19
9,25,294.6468487972508,154998.03009332746,3.455468721532829e11,1.5781015469052248e19
9,25,297.5008636884307,155007.94125125802,3.4023636767081683e11,1.5689998870566013e19
9,25,293.037627720504,152742.99273189402,3.391209471761594e11,1.517886512611504e19
9,25,290.03020045819005,150659.12168129094,3.4073145920881555e11,1.488849800779213e19
9,25,293.68442611683844,149651.96105593652,3.369953068347079e11,1.4811095484362703e19
9,25,293.2714776632302,149535.80913688042,3.3750554535519604e11,1.4801166541100466e19
9,25,300.3822405498282,146807.97158009643,3.273007750591824e11,1.4433475662037449e19
