ID,SAIDIObjective
5,133850.1723353453
16,178908.61824545852
12,147206.603128757
8,180379.0578336256
17,92372.7500749395
1,189959.83026546155
6,169523.8067879844
11,201560.78256685662
9,244335.35308900202
14,125776.70504014936
3,158118.53501940958
7,161633.1726491624
4,193188.01398760013
13,186400.13503767847
15,116965.90800205464
2,134254.67644936393
10,99749.40525376138
18,240515.01255383244
