out_comp,iter,RTime,SAIDI,Energy,Product
9,48,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,48,285.49177319587625,251115.8801180868,1.9500533356608376e12,1.3980228360496683e20
9,48,298.94799656357395,253765.16242622034,1.8219279697945273e12,1.3821616894309373e20
9,48,296.3601019473082,243911.30561819865,1.8908971391500757e12,1.3668459528758349e20
9,48,290.57799198167237,202315.37898240908,1.0815323711003905e12,6.358155393740183e19
9,48,290.576452462772,202305.94480834203,1.0775615741098292e12,6.334482755072671e19
9,48,296.0213264604811,170289.80982990595,5.308031567220204e11,2.6757476816754905e19
9,48,276.74726689576175,173469.9514811813,5.2796768050059015e11,2.5346321286351528e19
9,48,272.68113745704466,165067.54274876355,5.290334926387855e11,2.3812223541735117e19
9,48,276.0558946162657,168621.23796493007,4.654628434661057e11,2.1666777162498142e19
9,48,298.0991099656357,152048.0591893894,3.739206189584232e11,1.6948098300761678e19
9,48,290.73354410080174,155358.54655509355,3.662585722950267e11,1.654314552787636e19
9,48,289.50759335624275,147405.07019140964,3.5598558414245496e11,1.5191644619492336e19
9,48,289.2000263459335,147251.7143933989,3.5615915954636005e11,1.516710892787457e19
9,48,275.17710996563574,136429.0747117304,3.732476841246612e11,1.4012523715098087e19
9,48,269.7733424971363,136757.00423961307,3.742570888830471e11,1.3807614291204383e19
9,48,278.3590057273769,136892.80276382444,3.60759828949439e11,1.3746877552541516e19
9,48,278.2832726231386,137094.2687940013,3.572740298571126e11,1.3630376439227e19
9,48,276.8280022909507,134061.36162611362,3.554079368569484e11,1.3189877645513079e19
9,48,278.8035819014891,132361.65663710225,3.5189009623971344e11,1.298576643193482e19
9,48,279.3362405498281,131404.8679398188,3.531462247075056e11,1.2962635400338635e19
9,48,270.8592783505154,129924.49670336163,3.606005342790961e11,1.2689985505367933e19
9,48,264.607833906071,129849.18878003962,3.5872187182260767e11,1.2325365177981284e19
9,48,264.60983046964486,129614.63869995369,3.5687427693557104e11,1.2239826840872397e19
9,48,265.2096815578465,127867.10437858704,3.571431488678741e11,1.2111293476420698e19
9,48,263.90446506300117,126971.57614394155,3.5721078543480066e11,1.1969549694800441e19
9,48,263.2251638029783,125413.08031543555,3.5812634743098846e11,1.1822423508100198e19
9,48,255.21846048109967,124076.74643394427,3.5947098633826746e11,1.1383251329960178e19
9,48,255.0120870561283,124175.64553636972,3.590364306676685e11,1.1369351924294605e19
9,48,253.43250286368846,123942.23005403113,3.5963774119620593e11,1.1296577338807325e19
9,48,252.18796907216492,123842.43783761577,3.5961392052338043e11,1.1231308368644338e19
9,48,249.01354753722796,123906.56480472024,3.596520611836957e11,1.1096853327433687e19
9,48,249.84084192439866,123306.41336974203,3.600507730870787e11,1.1092076292534014e19
9,48,237.7953172966782,126554.94170245438,3.68078525819663e11,1.1077018656039997e19
9,48,237.89887056128302,126445.1370992317,3.670395900210676e11,1.1040974910093906e19
9,48,235.9576998854525,127115.01903366728,3.665385678845036e11,1.0993872589338425e19
9,48,231.508175257732,126495.20269284188,3.673237995843924e11,1.0756957559545516e19
9,48,229.3469851088202,126107.4720169929,3.649665335537808e11,1.0555696576089002e19
9,48,228.36937915234822,126211.63416777896,3.64904072967145e11,1.0517583583254325e19
9,48,228.14143298969074,124924.85748192233,3.690101947835512e11,1.0516988341518375e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
9,48,221.0071832760595,137651.08914017837,3.921251159679937e11,1.192918302131507e19
