out_comp,iter,RTime,SAIDI,Energy,Product
9,31,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,31,297.45345360824746,229467.27004621207,2.0698822666264182e12,1.4128153617881152e20
9,31,278.686556701031,256189.0225557293,1.652166587605005e12,1.1795880695958113e20
9,31,273.86132187857964,243538.51353091304,1.5747252060361494e12,1.0502752471162377e20
9,31,254.12235166093933,215896.28539757602,1.4292584479669656e12,7.841493805297921e19
9,31,271.67114089347086,203237.0795544434,1.2963082631473445e12,7.157390979294061e19
9,31,262.8680481099656,203429.66551179314,1.2960652927974402e12,6.930729773730098e19
9,31,266.0534536082474,212014.7623306223,1.1760393516590176e12,6.63371571664279e19
9,31,285.0473195876288,178009.5318201329,8.188241344986195e11,4.1548069967313e19
9,31,284.73406185567006,177965.3703796351,8.130382133478558e11,4.1198925035825136e19
9,31,288.7392382588775,168151.41794259052,8.164121838051667e11,3.9638372772349125e19
9,31,322.0558178694158,164153.89555065564,6.217949580217208e11,3.287225813248976e19
9,31,336.1576964490263,159507.40454820087,6.043583422786055e11,3.2405477758987063e19
9,31,338.95217296678123,161736.41758503934,5.2955595970600146e11,2.9030739706727973e19
9,31,338.8991775486827,161650.7331809295,5.285088548687314e11,2.8953459426481123e19
9,31,339.77047880870566,161742.67638163027,5.259209205503764e11,2.890218750881569e19
9,31,322.7370240549828,155360.94302971233,5.33656626661069e11,2.675793198042742e19
9,31,309.77380641466215,167032.26872983138,5.080443949354585e11,2.6287345705278337e19
9,31,309.6866975945018,167777.6008045028,5.04886629166387e11,2.623314743990299e19
9,31,311.1290068728523,166431.5974804784,4.968390565592553e11,2.572716980068749e19
9,31,312.000812142039,163189.35345338928,4.7627473657506775e11,2.4249628616383357e19
9,31,311.52995303550983,158457.1556539569,4.8968630061641486e11,2.4172948123411194e19
9,31,311.50251317296687,158250.18386992838,4.9003987003244476e11,2.4156677099333628e19
9,31,316.1061122565865,159653.62560977647,4.2108331262904535e11,2.1251016563567575e19
9,31,316.08454066437577,158357.94082283857,4.219087140113622e11,2.111842845365619e19
9,31,315.73567468499436,157823.3593900248,4.222941621020298e11,2.1043114404389855e19
9,31,316.05384879725085,157393.14670498497,4.2223647200437e11,2.100403076278854e19
9,31,315.9218888888889,156889.357515407,4.216811941103175e11,2.0900536532457394e19
9,31,316.41682130584195,157815.65330557813,4.179595730457131e11,2.0871031699902603e19
9,31,308.154510882016,157591.3844695752,4.189102528648545e11,2.0343327479293506e19
9,31,308.5127124856815,157252.58203715782,4.1902538071442053e11,2.0328773574483116e19
9,31,291.1240641466208,159517.7638418064,4.342935703105304e11,2.0168358762140946e19
9,31,285.5882428407789,159822.027813701,4.3430025018547284e11,1.9822893174220976e19
9,31,292.39340091638024,145048.90420897034,3.601871796160695e11,1.527602180309542e19
9,31,292.2283104238258,146710.27912872468,3.554278028522512e11,1.5238219579633533e19
9,31,289.2753986254295,145099.44823922557,3.5242889526099005e11,1.4792744978194809e19
9,31,289.3054112256586,145408.95878681782,3.4828811752448596e11,1.4651644731339686e19
9,31,278.6734982817869,145894.22203174306,3.5079681028696356e11,1.4262294430331329e19
9,31,289.54347193585335,142751.99162930113,3.3306358198470245e11,1.3766486153219723e19
9,31,289.54953264604814,142594.60058122594,3.325155781650606e11,1.372896967981181e19
9,31,291.25069873997705,140501.48291949966,3.2608535810494257e11,1.334378950647336e19
9,31,290.45526345933564,140697.88103287874,3.256054372949212e11,1.3306335100611262e19
9,31,281.4019312714777,138784.8071839265,3.3212876186360815e11,1.2971060546629806e19
9,31,282.26343184421535,138611.181367395,3.296223429746308e11,1.2896430574594376e19
9,31,277.38367124856813,137905.41323805187,3.303617099877717e11,1.2637230624174424e19
9,31,277.23669530355096,137945.8412189246,3.297156759582952e11,1.2609530630737013e19
9,31,275.50759564719357,137647.75566711606,3.308274413212073e11,1.254596978837909e19
9,31,266.06030813287515,137516.35885482235,3.3083574525240155e11,1.2104500737820973e19
9,31,265.685206185567,137509.65737304435,3.309054057299019e11,1.2089391299612484e19
9,31,266.5789392898053,129364.11181541347,3.4334693658993317e11,1.1840575832214575e19
9,31,267.5198350515464,129536.51366480078,3.415039044554821e11,1.1834335184918338e19
9,31,259.7268808705613,137425.38829856055,3.272820576386041e11,1.1681700560174905e19
9,31,263.6854730813287,139499.25587807904,3.1570941897472986e11,1.1613032309399966e19
