out_comp,iter,RTime,SAIDI,Energy,Product
9,27,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,27,267.52218785796106,204058.06088664057,1.7092780718912966e12,9.330959061837e19
9,27,270.94890607101945,194495.04893522285,1.4319387227204075e12,7.54606229035599e19
9,27,262.1893837342497,196102.4998599591,1.2042997361373706e12,6.1920267510099124e19
9,27,267.0009851088202,195261.6669292198,1.161487845080984e12,6.0554235500681994e19
9,27,260.43321076746844,193502.1171866987,1.169061247569345e12,5.8914114028476465e19
9,27,261.70168384879713,190833.40002722037,1.1643057422792708e12,5.814708455390538e19
9,27,261.67006529209607,191027.31317781945,1.0873967517424728e12,5.4354754863324774e19
9,27,258.40552577319585,194323.20961016105,1.0526989947091208e12,5.286042854294564e19
9,27,243.75505269186712,199036.8663417352,1.0513732916470211e12,5.100868088455897e19
9,27,258.8355120274914,180693.3570899338,4.9939795726178156e11,2.335677134803268e19
9,27,257.95228865979374,173166.0140804291,4.345587951107358e11,1.9411119806485148e19
9,27,263.0766529209621,172644.50936218223,3.9324748918820404e11,1.786080533660628e19
9,27,278.8555876288658,167627.98555780284,3.6480921678376776e11,1.705264218101503e19
9,27,273.2794169530355,170062.001201707,3.634763934678428e11,1.689236348773736e19
9,27,275.1906426116838,170319.05407763578,3.599014884334861e11,1.6868658320825848e19
9,27,290.8875223367697,165959.87953378676,3.4820279816801373e11,1.6809719256417915e19
9,27,288.24961970217646,162909.555050784,3.437437789949684e11,1.6141732563381563e19
9,27,302.1381844215348,160651.99629127962,3.2394960247202844e11,1.5724222953763017e19
9,27,283.58650515463916,151760.88457562783,3.388230165763742e11,1.4582040983378825e19
9,27,282.4949576174112,143277.81291154822,3.533932724832605e11,1.4303684475032316e19
9,27,277.8284478808706,141351.8498287174,3.458060203308294e11,1.3580343619683998e19
9,27,277.31723596792676,140474.20497186694,3.383976900071459e11,1.3182592747091726e19
9,27,278.20407903780074,141254.64803803476,3.341376896153968e11,1.3130815709337782e19
9,27,277.88901947308136,140876.83123286223,3.333762758706607e11,1.3051055952389159e19
9,27,268.4209484536083,140288.1039593742,3.3367493180528516e11,1.2564951963409412e19
9,27,268.4209484536083,140126.93247804567,3.330222960418499e11,1.2525968992957983e19
9,27,268.68560366552117,139560.63790424156,3.336353092960529e11,1.2510634889208553e19
9,27,267.3076563573884,139231.49247172358,3.338628556355453e11,1.2425588887089934e19
9,27,267.0898396334479,139595.09600498434,3.331771150789908e11,1.2422319426344854e19
9,27,254.1901019473082,139148.26214422612,3.316035891294076e11,1.1728855735686124e19
9,27,247.25853837342507,138482.9545891589,3.3182979568809174e11,1.1362214874864742e19
9,27,247.27229438717077,138652.87111321936,3.314025934677415e11,1.1362142412032002e19
9,27,239.00604467353963,141761.21091413227,3.294899569335631e11,1.116370831169174e19
9,27,227.67094272623146,140117.37563090216,3.25685451445209e11,1.03895792257936e19
9,27,232.6378568155785,142759.61575739514,3.126014152891218e11,1.0381896585688873e19
9,27,232.44425315005728,144438.7583601033,3.0872561548062445e11,1.0365141253007548e19
9,27,233.8285211912944,136952.1236601043,3.158321231473696e11,1.0113990792704432e19
9,27,234.79520045819018,137123.14382930688,3.116889095253864e11,1.0035091261235155e19
9,27,234.44160022909506,137068.12564068811,3.116807305759465e11,1.0015695309311304e19
9,27,234.56469415807558,137204.03041123794,3.109614209892717e11,1.0007740268092695e19
9,27,241.10280412371137,134767.35253935418,3.042954759839043e11,9.887407964967279e18
9,27,240.8727697594502,134543.62736297044,3.0477557542014966e11,9.8771352053194e18
9,27,235.1793562428408,134025.33130739632,3.0470525002779724e11,9.604306780306119e18
9,27,235.10759679266903,134869.14030904707,3.028198643543912e11,9.602042238387962e18
9,27,244.75297479954196,131702.5527167248,2.9697576562043097e11,9.572892509807966e18
9,27,242.73171134020623,132133.52176949068,2.969063131210573e11,9.522674952880622e18
9,27,241.900018327606,132078.81367351572,2.970177932042864e11,9.489679122667067e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
9,27,217.60574455899206,144420.25084030867,2.9694358577838446e11,9.331949923933477e18
