out_comp,iter,RTime,SAIDI,Energy,Product
9,39,282.5062497136312,252508.73710190496,2.0590590808265908e12,1.4688358970941809e20
9,39,271.39187743413515,242041.73618100848,2.085417410569095e12,1.3698723503387661e20
9,39,273.04184077892324,241291.35102082568,2.048743283527947e12,1.3497660523367427e20
9,39,271.9093951890034,256995.30076571504,1.9179896044557854e12,1.3402803334306333e20
9,39,280.44672164948446,213637.0585559252,1.2845572389818752e12,7.696272181217139e19
9,39,275.85150171821294,230056.35970554996,1.0420981599220413e12,6.613300014671583e19
9,39,298.38454753722795,210628.4683097437,1.0374147900407925e12,6.519973542373368e19
9,39,290.0898384879725,182397.36185209666,6.041382520496182e11,3.1965934369230516e19
9,39,290.76682817869414,157468.32593133982,6.048101749230918e11,2.769218079179741e19
9,39,296.42595189003436,155442.9184743897,5.803808738285869e11,2.6742392385937854e19
9,39,297.1101466208477,153212.7305261161,5.667541092007822e11,2.5799246014015275e19
9,39,295.9147193585338,151596.5868910653,5.721598882475895e11,2.5666898890971615e19
9,39,280.1637273768614,154033.10043470576,5.748768293946909e11,2.4808514981036704e19
9,39,313.43185567010306,162926.08898886226,4.7026436543942944e11,2.401462655754476e19
9,39,276.4237983963345,157441.05488362475,3.9918661141971295e11,1.7372782725153309e19
9,39,278.3508888888889,156597.93733300155,3.954965536237177e11,1.7239368509477292e19
9,39,270.33532989690724,156953.60735116812,4.0592639521600806e11,1.7223499661316192e19
9,39,268.38805612829316,157144.03078198736,4.0791823844570593e11,1.7204188688074805e19
9,39,269.4329713631156,156837.68902854092,4.059452653340813e11,1.7154128361969193e19
9,39,265.9192233676975,158214.31716648853,4.066623756522876e11,1.7109192328398905e19
9,39,268.92894043528054,157266.20927772048,3.9800526096455615e11,1.6833009645140158e19
9,39,268.7538510882015,157650.06712458082,3.9688644241746436e11,1.681570654929526e19
9,39,269.0959954180984,157734.33887112595,3.961541791692097e11,1.6815033095849943e19
9,39,272.1881328751431,148187.76302144382,3.7037219503305304e11,1.4938944164994216e19
9,39,271.7100343642611,146996.6200570386,3.68335132909261e11,1.4711473422309945e19
9,39,271.66420160366545,146965.83172824272,3.6827140318478766e11,1.4703366633518496e19
9,39,262.4137640320733,142247.48953184029,3.416668072487988e11,1.2753635791263281e19
9,39,263.83186254295526,145235.66364110357,3.2624331539432745e11,1.2500924690184202e19
9,39,263.7844318442153,145047.20866208407,3.250868283656878e11,1.2438210703520004e19
9,39,252.50524054982816,144449.92858093837,3.270784189309819e11,1.1929977296771738e19
9,39,251.11081786941577,144502.779308097,3.270747366388495e11,1.1868302937996327e19
9,39,251.23807216494842,141896.26078586568,3.3259513944364905e11,1.185693124662845e19
9,39,251.23807674684988,142082.59240257993,3.310657415706923e11,1.1817907198958799e19
9,39,251.98129782359675,142072.47866831764,3.297176299264105e11,1.180376175693197e19
9,39,251.9778613974799,142770.00195490403,3.2797383499285376e11,1.1798819279707804e19
9,39,252.61989347079032,138904.13623669214,3.350034464929196e11,1.1755253550344053e19
9,39,252.56615349369983,138325.2789235446,3.341455510505783e11,1.1673803744758831e19
9,39,252.23922336769752,139868.57208654692,3.274561771305604e11,1.15527652631725e19
9,39,252.18716494845356,140933.75832054103,3.250427923500154e11,1.1552568523048817e19
9,39,250.4858361970217,140786.82586742003,3.2509280947646014e11,1.1464432321957569e19
9,39,248.9983951890034,140831.83689916268,3.249508334328244e11,1.1395018829146255e19
9,39,246.37891523482244,142185.52376029038,3.232394545340356e11,1.1323567834414504e19
9,39,245.74283276059566,140578.2844237117,3.2650806016593524e11,1.127958200374882e19
9,39,244.44831958762884,141096.26828634317,3.256160590270957e11,1.1230740682100675e19
9,39,242.04445819014893,141137.73856138924,3.2508405755727454e11,1.1105393965864845e19
9,39,240.84780297823596,141106.32628836474,3.255295882555389e11,1.1063171454286795e19
9,39,237.80739747995418,141536.95020683415,3.2472410823579877e11,1.0929737364915685e19
9,39,233.02165177548682,144073.73337117556,3.231689150382959e11,1.0849523549045412e19
9,39,231.61248682703322,144174.27002802974,3.2297979367017645e11,1.078512253219991e19
9,39,231.7048213058419,141863.31699452733,3.2684562709832935e11,1.0743551244833548e19
9,39,223.09736082474228,140906.50511111322,3.272858880828409e11,1.028851643859708e19
9,39,223.57441924398628,141152.7369572757,3.2598988105516644e11,1.0287634692824844e19
9,39,223.0565635738832,140193.33060863413,3.282334670254502e11,1.0264202717474435e19
