ID,RTimeObjectiveWithSAIDI
5,154001.84676026693
16,328135.30514780997
12,167510.5652100942
8,217342.11064684473
17,120515.84373376178
1,216440.16482364677
6,184273.385791433
11,229285.5985685582
9,450273.5439827574
14,132266.42736485743
3,169230.33678310493
7,192740.5082066912
4,210892.66609729864
13,222513.5519662106
15,121806.67634136348
2,165378.69924303054
10,109952.74578748854
18,303932.25097284454
